ID;v0.12 ;v0.13 ;v0.13.outro;v0.14 ;v0.15;v0.16 ;v0.17;v0.18 ;v2;v3;v4.1;v4.2;v5;v6.1;v6.2;v6.3;v6.4;v6.5;v6.6;v6.7;v6.8;v6.other;v7;v8;v9;v10;v11;v11.1;v11.2;v12;v13.1;v13.2;v14;v15;v16;v17;v18;v19;v20;v21;v21.quais;v22;v23;v24;v24.outro;v25;v25.1;v26;v27.1;v27.2;v27.3;v27.4;v27.5;v27.6;v27.7;v28.1;v28.2;v28.3;v28.4;v28.5;v29;v30;v31;v31.outro;v32;v32.1.1;v32.1.2;v32.1.3;v32.1.4;v32.1.5;v32.1.6;v32.1.7;v32.1.outro;v33;v33.outro;v34;v34.outro;v35;v36;v36.outro;v37;v38.1.1;v38.1.2;v38.1.3;v38.2.1;v38.2.2;v38.2.3;v38.3.1;v38.3.2;v38.3.3;v38.4.1;v38.4.2;v38.4.3;v38.5.1;v38.5.2;v38.5.3;v38.6.1;v38.6.2;v38.6.3;v39;v39.outro;v40;v41;v42;v43;v44;v45.1.1;v45.1.2;v45.2.1;v45.2.2;v45.3.1;v45.3.2;v45.4.1;v45.4.2;v46.1;v46.2;v46.3;v46.4;v46.5;v46.6;v46.7;v46.8;v46.9;v46.outra;v47;v47.1;v48.1;v48.2;v48.3;v48.4;v48.5;v48.outra;v49;v50;v51.1;v51.2;v51.3;v51.4;v52.1;v52.2;v52.3;v52.4;v53;v54;v55;v56.1;v56.2;v56.3;v56.4;v56.outro;v57;v57.1
1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;;;;09:00;09:32;;;26/09/1976;1;rio de janeiro;copacabana;30;2;2;2;2;2;2;2;1;;0;1;5;;2;1;2;1;36;0;1;2;2;;vendedor de disco;2;1;2;;2;1;1;;1;;2;07:30;18:00;2;100;1;100;1;07:30;15:00;2;50;1;7;2;1;;;;;;;;;;;3;;0;na barraca;3;;;1;10;100;20;;;;12;4;7.5;8;4,5;5;;;;5;2,5;48;1;;1;3;2;1;1;1500;600;50;;500;200;;;2;2;2;2;2;1;2;2;2;;1;;2;2;1;1;2;;2;1;5;;;2;4;3;3;3;5;2;2;;;;;;1;1
3;2;1;;2;09:00;09:02;10:15;10:16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;1;;;;10:08;10:30;;;10/02/1975;2;rio de janeiro;copacabana;30;2;2;2;2;1;2;2;2;;15;4;2;2;2;0;1;2;8;;1;2;2;;domestica;2;1;2;;1;1;1;;1;;1;06:00;18:30;0;250;1;1;2;06:00;18:30;4,5;150;1;7;3;2;;1;2;2;2;2;1;2;2;;5;;4;;5;;;1;15;170;;;;;10;4.80;;6;3;;10;3.5;;5;1;;2;;2;2;1;2;1;5000;;400;;400;;400;;;;;;;1;;;;;1;2;1;;;;;;1;1;5;5;5;1;4;4;3;3;5;1;2;;;;;;2;
5;2;0;ignorou a abordagem;1;09:30;09:32;10:30;10:50;08/01/1975;1;rio de janeiro;lapa;15;1;2;1;2;2;2;2;1;;16;1;5;;;;;2;7;;1;2;2;;rodoviario;2;2;2;;1;1;1;;1;;1;05:00;22:00;9;250;0;;;08:00;17:00;6;125;0;7;2;3;;2;2;2;2;2;2;2;2;;4;;1;;1;;;1;20;160;40;;;;10;3.5;24;7;2.8;12;10;3;20;5;0.5;24;2;;1;2;1;2;1;8000;3500;3000;2000;;1500;;1500;2;2;1;2;2;2;2;2;1;;1;8;2;2;2;1;2;;1;1;1;;1;5;4;1;1;1;5;2;2;2;2;2;2;;1;1
6;2;2;;2;09:25;09:26;10:30;10:35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;;;;09:30;10:00;;;08/09/1972;2;rio de janeiro;copacabana;15;1;2;2;2;2;1;2;1;;20;2;7;;1;;1;1;16;;1;2;2;;professora;2;1;2;;2;1;1;;2;;1;06:00;18:00;5;100;;;;07:00;16:00;3;70;;4;2;2;;1;2;2;2;2;1;2;2;;4;;4;;1;1;;6;12.00;200.00;100;;;;12.00;6.50;10;8.00;4.50;5;10.00;4.50;5;6;3.00;5;3;;1;1;1;1;1;5000.00;3000.00;800.00;500.00;500.00;300.00;800.00;500.00;2;2;2;2;2;1;2;2;2;pandemia;1;3;2;2;1;1;2;;2;2;5;;;3;5;3;1;1;2;2;1;2;2;1;2;;1;1
8;1;;;;09:04;09:23;;;14/01/2001;1;rio de janeiro;tabajara;5;2;2;2;2;2;2;2;1;;10;1;5;;1;1;1;1;3;;1;2;1;garáon;barraqueiro na argentina;2;2;1;miramar;2;1;1;;1;;1;07:00;17:00;5;100;1;1;2;08:00;16:00;2;100.00;0;6;2;3;;1;2;2;2;2;1;2;2;;4;;1;;4;5;;2;5.00;180.00;40;15.00;3.30;10;10.00;3.00;10;8.00;5.00;5;10.00;4.00;15;5.00;2.00;15;1;;1;1;1;2;1;6000.00;4000.00;4000.00;2000.00;2000.00;800.00;800.00;;2;2;2;2;2;1;2;2;2;;1;8;2;2;1;1;2;;1;3;5;1;1;1;3;2;4;4;5;1;1;2;1;2;2;;1;1
9;1;;;;09:20;09:47;;;27/11/1995;1;rio de Janeiro;leme;10;2;2;2;2;2;2;1;2;;0;2;5;12;0;;1;2;5;0;1;2;2;;;2;2;2;;1;1;1;;1;;1;06:00;20:00;5;750;0;;;08:00;17:00;2;150;0;7;2;2;;;;;;;;;;;2;;1;;1;0;Carrinho atropelou o ciclista ;1;15;180;30;;;;10;5,4;60;8;3,5;20;10;4;20;5;1,5;20;4;;1;1;1;2;1;10000;5000;3000;1000;3000;1000;3000;1000;2;2;3;2;2;2;2;2;2;2;1;5;2;2;2;1;2;;1;4;5;3;;1;5;5;2;2;5;2;1;1;2;2;2;;1;1
10;2;2;;2;09:25;09:25;10:39;10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2;2;;2;09:00;09:01;10:36;10:37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;0;se recusou a responder;2;10:11;10:12;10:21;10:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;;;;09:33;10:08;;;28/08/1977;2;rio de janeiro;bonsucesso;90;1;2;2;2;2;2;2;2;;22;2;2;7;4;2;1;2;12;0;1;2;2;;empregada domestica;1;2;2;;1;2;1;;1;;1;07:00;20:00;5;190;4;4;2;09:00;13:00;5;0;4;7;3;1;;1;2;2;2;2;1;2;2;;0;poco (lencol freatico);4;;2;5;;3;5;170;10;0;0;0;9;4;20;7;3;6;8;3.50;10;4;1;24;0;tabela do proprio barraqueiro;1;1;1;1;1;2500;350;1250;150;1800;250;;;1;2;2;2;2;2;2;2;2;;1;1;1;2;2;2;2;;2;4;2;1;;5;5;5;5;5;5;2;1;2;2;2;2;uniforme inadequado;1;2
14;1;;;;09:30;09:50;;;09/06/1972;2;rio de janeiro;vidigal;15;2;2;2;2;1;2;2;2;;3.57;4;5;;2;1;1;1;10;0;1;2;2;;bancario;2;1;2;;1;1;1;;1;;1;07:00;18:30;6;;2;2;;08:00;18:00;2;;;7;2;2;;2;;;;;;;;;2;;4;;1;5;;1;10.00;170;20;15;5;6;12;4;6;7;4;6;8;3.50;10;5;1.25;6;1;;1;1;2;1;1;;;;;;;;;2;2;2;2;2;2;2;2;1;;1;10;2;2;1;1;2;;1;4;1;1;1;1;3;4;4;4;3;2;1;2;2;2;2;abordagem;2;
15;2;2;;2;09:30;09:32;10:05;10:07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;;;;10:10;10:30;;;27/11/2000;1;rio de janeiro;santo cristo;30;2;2;2;2;2;1;2;2;;28,57;4;5;;2;2;1;2;5;10;1;2;2;;ajudante de pedreiro;1;1;2;;2;1;1;;1;;1;06:30;19:00;10;120;1;10;1;07:30;17:30;7;120;1;7;2;0;Segue o preco;1;2;2;2;2;1;2;2;;2;;4;;3;;;1;10;150;20;;;;10;4;5;8;3,5;8;8;4;20;6;1,5;24;2;;2;2;1;2;1;;;;;;;;;1;2;2;2;2;2;2;2;1;;1;8;2;2;1;1;2;;1;3;1;1;;2;4;5;5;5;5;2;2;;;;;;2;
17;1;;;;09:41;10:07;;;29/03/1988;1;rio de janeiro;catete;40;2;2;1;2;2;2;2;2;;13;4;5;12;4;0;1;2;2;;1;2;2;;obra;1;1;2;;2;1;1;;1;;1;6;19:30;3;80;0;0;;7;17;3;60;;7;3;1;;2;2;2;2;2;2;2;2;;2;;1;;2;5;;2;5;200;15;0;0;0;8;4,5;20;7;3,5;6;7;3.9;10;3;1;20;2;;2;3;1;2;1;1700;1100;700;400;1400;800;500;250;2;2;1;2;2;2;1;2;2;;2;;2;2;2;1;2;;1;1;1;1;1;3;4;5;4;4;4;1;1;2;2;1;2;;1;1
18;1;;;;08:55;09:28;;;21/05/2003;1;rio de janeiro;copacabana;15;2;2;2;2;2;2;2;1;;0;4;5;12;0;0;1;2;0;3;1;1;1;loja propria;dono;2;2;2;;1;1;1;;2;;1;06:30;19:30;4;50;2;2;1;07:30;18:30;3;150;2;7;3;1;;1;2;2;2;2;1;2;2;;4;;4;;4;5;;1;10;180;15;0;0;0;12;5;25;6;3;3;8;2;10;5;1,3;12;1;;1;1;1;2;1;2500;1700;1500;1200;1200;900;1000;800;2;2;2;1;2;2;2;2;2;;1;4;2;2;1;1;2;;1;4;1;2;;1;3;4;5;4;5;1;1;2;2;2;2;carrinho depois  da hora na orla;1;1
19;1;;;;09:40;10:17;;;25/09/1956;;rio de Janeiro;pavao;10;2;2;2;2;2;2;2;1;;;4;2;5;4;1;1;2;20;;1;2;2;;restaurante;2;2;2;;1;1;1;;1;;1;07:30;20:00;4;100;0;;;07:30;20:00;2;100;0;7;2;2;;2;;;;;;;;;3;;1;;5;4;;1;10;180;;;;;10;4,5;;6;3;;7;3;;4;0.83;;1;;2;1;2;2;2;;200;;;;;;100;1;;;;;;;;;;1;;1;1;;;;;1;2;4;1;1;5;3;4;2;5;4;1;1;;;;;atendentes com vestimenta impropria/barraca sem responsavel registrado;2;
20;2;0;maneira rude;2;09:25;09:26;10:39;10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;2;;1;09:46;09:47;10:34;10:50;09/05/1972;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;;2;5;;1;0;1;2;12;;1;2;1;vendedor de salgado;escritorio mc donalds;2;1;2;;1;1;1;;1;;1;07:00;21:00;6;200;2;2;1;08:00;17:00;6;65;2;7;3;2;;1;2;2;2;2;1;2;2;;2;;;paga o banheiro;5;;nao tem;1;10;179;20;;;;10;4,5;6;7;2,5;6;8;3;10;4;0,9;0;2;3;1;1;2;1;1;7000;4000;3500;1500;800;;;;1;;;;;;;;;;1;8;;;1;1;;;3;3;1;;;1;4;5;4;1;5;2;2;;;;;;1;1
22;1;;;;09:48;10:13;;;07/10/1992;2;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;2;2;5;12;;;1;2;20;;1;2;2;;vigilante;2;1;2;;1;1;1;;1;;1;07:00;19:00;;400;0;0;;08:00;17:00;5;300;0;7;1;2;;1;1;2;2;2;1;2;2;;2;;4;;4;;n∆o tem;1;7;5,8;50;0;0;0;8;3,7;24;7;2,5;24;7;3;20;5;0,9;10;1, 3;;1;1;1;1;1;3200;2000;2200;1200;1000;200;800;150;;;;;;;;;;desastre da natureza;1;1;2;2;1;2;2;;1;3;1;;;5;5;5;5;5;5;2;1;1;2;2;2;;1;1
23;2;1;;1;10:00;10:02;10:16;10:57;06/09/1965;2;rio de janeiro;copacabana;5;2;2;2;2;2;2;1;2;;0;4;5;;0;0;1;2;4;0;1;2;2;;transporte escolar;2;2;2;;2;1;1;;1;;1;07:00;19:00;5;150;2;2;2;08:30;17:00;2;80;0;7;2;2;;1;2;2;2;1;2;1;2;;4;;4;;2;;;1;10;170;40;;;;12;5,5;36;7;3,2;10;8;3.5;20;5;1,25;24;1;;1;1;1;2;1;4000;1700;2000;850;200;0;200;0;2;2;2;2;2;2;1;2;1;;1;1;2;2;1;1;2;italiano;1;2;1;;;5;4;4;4;4;4;2;1;1;2;2;2;;1;2
24;2;0;nao quis fazer;2;09:52;09:54;10:10;10:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;;;;09:15;09:40;;;10/11/1961;1;rio de janeiro;copacabana;20;2;2;2;2;2;2;1;2;;0;2;2;2;2;2;2;2;10;0;1;2;2;;ajudante de pedreiro;2;1;2;;1;1;1;;1;;1;07:00;21:00;4;225;0;0;2;07:30;15:00;4;225;0;7;1;3;;2;;;;;;;;;3;;2;;5;;;1;8;180;10;;;;12;10;4;6;;4;7;2.5;3;5;1;15;2;;1;1;2;2;1;2000;1500;800;500;2000;1500;400;200;1;2;2;2;2;2;2;2;2;;2;;1;2;2;2;2;;2;4;1;;1;1;4;4;4;3;2;2;2;2;2;2;2;;2;
26;1;;;;09:36;10:10;;;28/01/1965;1;rio de janeiro;vicente de carvalho;60;2;2;1;2;2;2;2;2;;13,8;2;2;5;2;1;1;1;41;0;1;2;2;;"garáom; entregador";1;2;2;;2;1;1;;1;;1;06:00;20:00;6;70;6;6;1;06:00;17:00;3;70;3;7;2;2;;1;1;2;2;2;1;2;1;;2;;1;;3;1;;2;10;220;30;;;;10;4;24;7;3,2;24;8;3.5;20;5;1;12;1;;1;1;1;1;2;5000;1000;4000;700;;500;;300;2;2;2;2;2;2;2;2;2;climatempo;1;5;1;2;2;2;2;;1;4;2;;;5;4;5;5;5;5;2;2;2;2;2;2;;1;1
27;2;3;;2;09:09;09:10;10:09;10:10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;;;;09:12;09:40;;;16/06/1972;2;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;2;3;;3;0;1;2;5;0;1;2;2;;barraqueiro;2;1;2;;1;1;1;;1;;1;07:30;20:30;6;120;2;2;2;07:30;18:30;4;75;4;6;2;3;;1;1;2;2;2;2;2;2;;2;;0;deposito;4;;;1;10;230;100;;;;12;6;70;8;3,8;20;8;3,5;70;5;2;30;1;;1;1;1;1;1;;;;;;;;;2;2;1;2;2;2;2;2;1;;1;2;2;2;1;1;2;;1;4;;;;2;4;4;3;3;5;2;1;2;2;2;2;falta de saco de lixo/cooler sujo;2;
29;1;;;;09:47;10:00;;;08/09/1985;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;2;5;;2;1;1;1;15;;1;1;1;aluguel;consultor de turismo;2;1;2;;1;1;1;;1;;1;07:00;19:00;6;200;1;1;2;08:00;17:00;2;200;0;7;2;1;;1;2;2;2;2;1;2;2;;2;;4;;4;2;;;8;190;20;;;;12;5;10;8;3,2;5;8;3,5;10;4;0,8;5;3;1;1;1;2;2;1;5000;3800;3000;2000;2000;1200;1000;600;2;2;1;2;2;2;2;2;2;;1;2;2;2;1;1;2;;1;3;2;3;;2;5;5;3;3;3;2;1;2;2;2;2;excesso de material;1;2
30;1;;;;09:17;09:44;;;30/08/1982;1;rio de janeiro;copacabana;15;2;2;2;2;2;2;2;1;;;1;2;1;3;0;1;2;2;;1;2;2;;cozinheiro;2;2;2;;2;1;1;;1;;1;07:00;19:00;3;250;0;3;;08:00;16:00;3;200;0;7;2;2;;2;;;;;;;;;0;compram no mercado;4;;1;2;;2;10;180;10;;;;10;4;5;6;2,57;4;8;3;10;5;1,1;5;3;;2;2;1;2;1;2000;1000;500;;1500;1000;400;0;1;2;2;2;2;2;2;2;2;;1;10;2;2;1;1;2;;1;3;;;;2;4;5;5;5;5;2;1;2;1;2;2;;1;2
31;2;2;;2;09:35;09:35;09:50;09:50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1;;;;09:11;09:34;;;02/06/2000;2;rio de janeiro;anchieta;90;1;2;1;2;2;2;2;2;;22;2;5;;3;2;2;2;6;0;1;1;1;conserta celular;nenhum;2;2;1;ipanema;1;1;1;;2;mare alta;1;08:00;19:30;2;150;0;2;;08:00;19:30;2;80;0;7;2;2;;2;;;;;;;;;3;;0;mar;1;5;barraca voar;1;10;180;10;;;;10;3;10;7;3;4;8;3;3;5;1;5;4;;1;1;1;2;2;2500;1000;300;100;1000;400;500;200;2;1;2;2;2;1;2;2;2;mare;1;1;2;2;1;2;2;;1;3;;4;;3;5;2;1;1;5;2;2;;;;;;2;
33;1;;;;10:00;10:21;;;08/09/1999;2;rio de janeiro;copacabana;20;2;2;2;2;2;2;2;1;;0.0;2;5;;3;0;1;2;2.0;;1;2;2;;recepcionista de salao;2;2;2;;1;1;1;;2;5;1;07:00;19:00;2;200;2;1;;08:00;17:00;2;50;2;7;2;2;;1;2;2;2;2;1;2;2;;;tras de casa;1;;1;6;;2;10;180;2;;;;;;;7;3.33;28;3;1;5;1;1;1;3;;1;1;1;2;1;25000;800;;;1300;400;;;2;2;2;2;2;1;2;2;2;;1;;2;2;2;1;2;;1;4;2;1;;2;4;4;5;5;2;2;2;2;2;2;2;2;2;
34;1;;;;09:03;09:30;;;30/12/1966;1;rio de janeiro;parada de lucas;90;1;2;2;2;2;2;2;2;;8.60;4;5;;2;2;2;2;14;;1;2;2;;caixa supermercado;2;2;2;;2;1;1;;1;;1;07:00;22:00;4;250;0;;;08:30;16:30;2;90;;7;"2;3";2;;1;2;2;2;2;1;2;2;;2;;1;;1;1;;2;10;190;20;14;7,142857143;10;10;4;12;7;3,166666667;10;10;3,6;10;5;1;48;1;;1;1;1;1;2;6300;3500;550;550;350;150;250;100;2;2;2;2;2;2;2;2;2;eventos na praia;1;6.5;2;2;1;2;2;;1;3;5;;;5;5;5;5;5;5;2;1;2;1;2;2;;1;2
35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;;;;09:43;10:02;;;19/09/1972;1;rio de janeiro;mesquita;90;1;1;2;2;2;2;2;2;;50;2;2;8;4;2;2;1;23;;1;2;2;;;1;1;2;;1;2;1;;1;;1;07:00;19:00;4;;;;;07:00;19:00;2;;;7;"2;3";2;;2;;;;;;;;;4;;1;;3;1;;1;10;200;;15;6,25;;10;4,6;;7;;;10;3,75;;6;2,3;;1;;1;1;2;2;1;;;;;;;;;2;1;2;2;2;2;2;2;2;;1;2;1;2;2;2;2;;1;3;5;;1;;4;2;2;2;2;2;1;2;2;2;2;carrinho la em cima;1;2
37;2;2;;1;08:55;08:56;09:55;10:24;1;;rio de janeiro;copacabana;15;2;2;2;2;2;2;2;1;;0;2;2;4;2;1;1;2;10;;1;2;2;;clt, serviáos gerais;1;1;2;;2;1;1;;1;;1;07:00;18:00;5;100;0;;;07:00;18:00;5;100;;7;2;2;;1;2;2;2;2;1;2;2;;2;;1;;4;;nao tem;1;6;170;20;;;;12;4.5;25;7;4;12;10;4;10;5;1;5;1;;1;1;1;1;1;1000;;350;;500;;300;;2;1;2;2;2;2;1;2;2;;2;;2;1;1;1;2;italiano;1;4;5;1;3;5;5;5;4;4;1;2;1;1;2;2;2;;2;
38;1;;;;09:00;09:30;;;23/08/1970;1;sao joao de meriti;s∆o joao de meriti;45;2;2;2;2;1;1;2;2;;40.00;2;4;;2;1;1;2;30;;1;2;1;uber;barman e lojista;1;1;2;;1;1;1;;2;maior salario;1;06:00;21:30;5;150;0;5;;07:00;18:00;5;35;;7;2;2;;1;1;2;2;2;1;2;1;;2;;1;;1;;nunca;1;10;180;50;0;0;0;10;6;60;7;4;48;10;6;30;5;3;24;2;;1;1;1;1;1;1500;850;750;425;750;425;750;425;2;2;1;2;1;2;2;2;1;;1;;2;2;1;1;2;;1;4;5;1;1;1;5;3;1;1;1;2;1;1;2;2;2;;2;
39;1;;;;09:30;10:00;;;01/06/2000;1;mage;siriu;150;1;2;2;2;2;2;2;2;;40.30;4;5;;3;1;1;2;0.6;;1;1;1;Vendedor;Militar;2;1;1;Leblon;1;1;1;;1;;1;06:00;18:00;4;200;;;;;;;;;7;1;2;;1;2;2;2;2;1;2;2;;;De casa;1;;1;7;;6;15;170;20;15;5.80;50;12;4.80;20;10;3.30;10;10;5;10;7;1.25;10;4;;1;1;2;1;1;3000;1500;1000;500;500;250;300;150;2;1;1;2;1;2;2;2;2;2;2;;2;2;2;1;2;;1;1;5;1;1;1;2;1;1;1;1;1;1;2;2;2;2;1;2;
40;2;2;;1;09:36;09:37;10:30;10:59;04/01/1999;1;rio de janeiro;gloria;35;2;2;1;2;2;2;2;2;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1;;;;08:58;09:30;;;26/05/1979;1;duque de caxias;;60;1;2;2;2;2;2;2;2;;30.00;1;2;4;4;2;1;2;12;;1;2;2;;mecanico de automoveis ;1;1;2;;3;1;1;;1;;1;07:00;18:00;6;100;1;6;;07:00;18:00;6;100;1;7;3;1;;1;2;2;2;2;1;2;2;;2;;1;;5;1;;1;10;200;20;;;;10;4,3;;6;2.6;;10;6;;5;;;1;;1;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;2;1;;1;10:20;10:23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2;1;;1;09:34;09:36;09:55;10:16;27/01/1954;2;rio de janeiro;curicica;40;2;2;1;2;1;2;2;2;;6.5;1;4;11;4;4;1;1;50;0;1;1;1;organizadora de eventos;vendedora;2;1;1;ipanema;3;2;1;;1;;1;06:30;18:00;6;150;1;6;1;08:00;17:00;3;90;1;7;2;2;;2;2;2;2;2;2;2;2;-;2;;4;;5;0;n∆o tem;1;12.5;170;50;;;;10;3,75;10;8;3,33;;10;3,5;10;5;1,08;-;0;cada um possui o seu;2;1;1;2;2;3000;1050;1000;300;1000;300;;;2;2;2;1;1;2;2;1;2;;1;10;2;1;1;1;2;;1;4;5;1;1;5;5;5;5;5;5;2;1;2;2;2;2;falta de titular;2;-
45;1;;;;09:09;09:30;;;15/03/1974;1;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;2;4;12;2;2;1;1;3;0;1;2;2;;autonomo;1;1;2;;2;1;1;;1;;1;04:00;19:30;3;100;2;3;;08:00;18:00;9;100;2;7;"2;3";3;;2;;;;;;;;;4;;4;;1;;nada;1;10;160;50;;;;10;5;;7;3.5;10;10;3.5;10;5;1;12;1;;2;3;1;2;1;3000;1000;1500;300;1000;300;;;;;;1;1;1;1;1;1;;1;5;1;;;;;;1;2;5;5;5;5;1;4;1;3;4;2;2;;;;;;2;
46;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;;;;08:55;08:56;09:32;10:27;09/02/1982;;rio de janeiro;copacabana;5;2;2;2;2;2;2;2;1;;0;2;;;1;2;2;1;15;;1;2;2;;seguranca de hotel;2;1;2;;1;1;1;;1;;1;06:00;21:00;7;250;0;;;06:00;17:00;4;150;0;7;3;2;;1;1;2;2;2;1;2;2;;2;;1;;1;4;;5;10;180;70;;;;12;4;5;12;4;;10;3.50;30;6;1;24;1;;1;1;1;1;1;5000;3000;3500;1000;1500;250;1500;250;;;;1;;;;1;;;1;7;;;1;1;;;1;4;5;1;;5;3;5;5;5;4;2;2;;;;;;2;
48;1;;;;08:57;09:28;;;23/01/2001;1;rio de janeiro ;copacabana ;5;2;2;2;2;2;2;2;1;;0;2;5;12;2;3;1;2;6;;1;2;2;;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1;;;;;;;;22/05/1977;2;rio de janeiro ;copacabana;2;2;2;2;2;2;2;1;2;;;2;8;;1;2;2;2;12;10;1;2;2;;Dona de uma franquia deprodutos de beleza;2;2;2;;2;2;1;;1;;1;06:30;21:00;6;150;0;;;06:30;17:00;3;80;;7;2;3;;2;;;;;;;;;2;;1;;1;0;raramente;2;10;170;100;;;;13;3,5;120;8;3;40;10;3,5;80;5;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
